PG,PGC,LOT,PD,WF
9,5,224259,8,3066398
9,5,224259,,3066398
10,5,257571,6,3818899
10,5,6,6,7550
10,5,6,6,530
10,5,6,6,7530
10,5,6,6,7562
10,5,6,6,7561
10,5,257573,6,3818831
10,5,257573,6,3818833
10,5,257573,6,3818837
10,5,257969,6,3818845
10,5,257573,6,3818855
10,5,257969,6,3818856
10,5,6,6,7559
10,5,6,6,13
10,5,6,6,275
10,5,257573,6,3818825
10,5,257573,6,3818826
10,5,257969,6,3818847
10,5,257969,6,3818850
10,5,257573,6,3818852
10,5,257969,6,3818868
10,5,257571,6,3818872
10,5,257573,6,3818830
10,5,257573,6,3818839
10,5,257969,6,3818878
10,5,257571,6,3818882
10,5,257571,6,3818886
10,5,257571,6,3818887
10,5,257571,6,3818893
15,5,11,11,22
18,5,15,15,12650
18,5,15,15,12646
45,2,30,27,447373
45,2,30,27,416432
45,2,30,27,447333
45,2,8646,27,5385705
46,2,32,28,52
46,2,32,28,52
49,2,34,31,55
49,2,34,31,55
56,12,34,35,55
56,12,34,35,55
57,12,36,27,68
57,12,36,27,5763
60,2,34,35,55
61,2,34,35,55
61,2,34,35,55
63,12,34,35,55
67,1,42,38,78
71,1,29,26,48
74,3,29,26,48
87,12,45,25,90
87,12,45,25,90
90,12,47,42,550017
90,12,47,42,95
90,12,47,42,550017
90,12,47,42,580226
90,12,47,42,1181955
90,12,47,42,95
91,12,48,42,96
93,2,34,51,55
93,2,34,51,55
93,2,34,44,55
95,2,34,45,55
101,12,52,48,104
102,2,34,44,55
102,2,34,44,55
102,2,34,44,55
102,2,34,44,55
105,2,249314,32,5388818
107,2,55,52,110
110,2,47077,55,5384555
117,12,34,51,55
117,12,34,51,55
117,12,34,44,55
118,12,34,45,55
120,12,34,44,55
120,12,34,44,55
120,12,34,44,55
120,12,34,44,55
127,3,64,58,135
131,12,65,59,139
131,12,65,59,139
131,12,65,59,139
131,12,65,59,139
131,12,65,59,139
131,12,65,59,139
131,12,65,59,139
133,3,24,22,40
133,3,24,22,40
133,3,24,22,40
133,3,24,22,40
133,3,24,22,40
137,12,34,31,55
144,5,360024,15,5385891
144,5,360024,15,5385547
144,5,15,15,12648
144,5,15,15,330
144,5,15,15,176
144,5,360024,15,5385722
144,5,15,15,12650
146,5,360105,65,5388758
146,5,360105,65,5385974
148,5,75,66,13300
148,5,75,66,181
148,5,286924,66,4319204
148,5,286924,66,4319220
149,5,136445,65,1181721
161,5,210250,77,2766050
161,5,227609,77,3125583
161,5,210250,77,3125573
161,5,210250,77,3125575
161,5,85,77,713
161,5,85,77,351
161,5,227609,77,3125587
161,5,210250,77,2765831
161,5,85,77,1313
161,5,227798,77,3130684
161,5,227798,77,3130686
162,5,227797,77,3130679
162,5,227797,77,3130669
162,5,227797,77,3130673
162,5,227797,77,3130671
163,5,360164,78,5386633
163,5,32664,78,3789187
163,5,361868,78,5390779
163,5,256625,78,3791829
163,5,32664,78,3791828
163,5,256625,78,3791827
163,5,256625,78,3791822
163,5,32664,78,3791820
163,5,32664,78,3791819
163,5,32664,78,3791818
163,5,32664,78,3791814
163,5,32664,78,3791812
163,5,32664,78,3791811
163,5,360164,78,5387975
167,5,244575,80,3513034
167,5,91,80,3513022
167,5,244575,80,3513209
167,5,91,80,478
167,5,91,80,3513024
167,5,244573,80,3513033
167,5,244573,80,3513094
167,5,244573,80,3513124
167,5,244573,80,3513100
167,5,244573,80,3513098
167,5,244575,80,3513208
167,5,91,80,362
176,1,24,22,40
176,1,24,22,40
176,1,24,22,40
176,1,24,22,40
179,1,25,23,42
198,5,268189,91,3993399
198,5,268189,91,3993402
198,5,268189,91,3993404
198,5,103,91,8810
198,5,103,91,8803
198,5,103,91,537
198,5,103,91,8806
201,5,361544,92,5390187
201,5,361389,92,5388319
201,5,240158,92,3409696
201,5,361544,92,5389583
201,5,361389,92,5389585
201,5,361389,92,5389827
201,5,104,92,3521
201,5,361544,92,5389232
201,5,240158,92,3409687
201,5,361389,92,5389184
201,5,240158,92,3409674
201,5,240158,92,3409664
201,5,240157,92,3409652
201,5,361544,92,5389846
203,5,248925,79,3615391
203,5,248925,79,3615389
203,5,248925,79,3615388
203,5,107,79,6843
203,5,107,79,6831
203,5,248924,79,3615380
203,5,107,79,6824
203,5,248924,79,3615379
203,5,107,79,6822
205,5,108,94,10603
205,5,278335,94,4170344
205,5,359784,94,5385898
205,5,278333,94,4170359
205,5,278335,94,4170377
205,5,108,94,625
205,5,278335,94,4170375
205,5,108,94,10616
205,5,108,94,10598
205,5,359784,94,5386091
206,5,109,77,501
206,5,85,77,713
206,5,227591,77,3125522
210,5,112,96,721
210,5,112,96,720
211,5,116,97,594
211,5,115,97,573
211,5,116,97,612
211,5,116,97,586
211,5,116,97,596
211,5,116,97,597
211,5,116,97,608
211,5,116,97,610
211,5,280177,97,4197326
211,5,280178,97,4197347
211,5,280078,97,4195598
211,5,116,97,601
211,5,116,97,590
211,5,116,97,607
211,5,116,97,606
211,5,116,97,592
211,5,116,97,609
211,5,280079,97,4195616
211,5,280079,97,4195620
211,5,280079,97,4195622
211,5,280079,97,4195623
211,5,280079,97,4195628
211,5,280079,97,4195629
211,5,280079,97,4195631
211,5,280079,97,4195632
211,5,280079,97,4195633
211,5,280079,97,4195634
211,5,280080,97,4195635
211,5,280080,97,4195636
211,5,280079,97,4195637
211,5,118,97,664
211,5,280179,97,4197380
211,5,118,97,654
211,5,280175,97,4197279
211,5,280176,97,4197301
211,5,280177,97,4197322
211,5,280179,97,4197395
211,5,280182,97,4197415
211,5,280183,97,4197430
211,5,118,97,660
211,5,118,97,661
211,5,280175,97,4197288
211,5,280176,97,4197290
211,5,280177,97,4197340
211,5,280179,97,4197381
211,5,280179,97,4197385
211,5,280182,97,4197397
211,5,280179,97,4197400
211,5,280183,97,4197432
211,5,280183,97,4197438
211,5,280183,97,4197439
211,5,280183,97,4197440
211,5,119,97,686
211,5,119,97,672
211,5,119,97,675
211,5,119,97,684
211,5,119,97,688
211,5,280184,97,4197448
211,5,280184,97,4197456
211,5,280184,97,4197459
211,5,280184,97,4197461
211,5,280184,97,4197470
211,5,280185,97,4197473
211,5,280185,97,4197475
211,5,280185,97,4197479
211,5,280185,97,4197484
211,5,280185,97,4197487
211,5,280185,97,4197493
211,5,280187,97,4197495
211,5,280187,97,4197506
211,5,280187,97,4197509
211,5,280187,97,4197513
211,5,118,97,665
211,5,280176,97,4197294
211,5,280176,97,4197311
211,5,280177,97,4197327
